course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3
Telecommunications Network Engineering,Pompeu Fabra University,"Barcelona, Spain","The main objective of the Bachelor in Telecommunicatios Network Engineering at Pompeu Fabra University is to train multi-skilled, flexible, creative and competitive professionals, able to conceive and design, manage and operate multimedia networks, protocols and services, to co-operate with professionals working in related technologies.","9,542 EUR / year",month,48,B.Eng.,Full-time,,
Computer Science,"University of California, Irvine (UCI)","Irvine, California, United States","The Computer Science program of University of California, Irvine (UCI) is internationally recognized for its unique group of faculty and researchers, outstanding students, and cutting edge curriculum.","39,347 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science (Hons),Birmingham City University,"Birmingham, England, United Kingdom",Ou Computer Science (Hons) BSc Computer Science of Birmingham City University course will develop your skills in producing computer systems solutions. You will gain a sound mathematical and scientific understanding alongside developing the professional attitude needed in the industry.,"14,127 EUR / year",month,36,B.Sc.,Full-time,,
Product Management,CODE University of Applied Sciences,"Berlin, Germany","During your Product Management bachelor program at CODE University of Applied Sciences, you will discover the customer's problem, talk to new users, create requirements and test the prototype until it's ready to release to the market.","10,923 EUR / year",month,36,B.A.,Full-time,,
Bioinformatics (Interdisciplinary),University of Massachusetts Lowell,"Lowell, Massachusetts, United States","Students are admitted through the existing program in the Bioinformatics (Interdisciplinary) Department at University of Massachusetts Lowell and fulfill its requirements as their major area of study. In addition, the student will receive an option in Bio-cheminformatics. ","28,620 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science,University of Minnesota,"Minneapolis, Minnesota, United States","The Computer Science program offered at University of Minnesota Twin Cities prepares students for a variety of industrial, governmental, and business positions involving the use of computers, or for graduate work in the field.","28,902 EUR / year",month,48,B.A.,Full-time,,
Computer Science (Hons),Taylor's University,"Subang Jaya, Malaysia",The Bachelor of Computer Science (Hons) at Taylor's University is considered to be the foundational science that takes scientific and practical approaches to computerisation and its application. ,"9,206 EUR / year",month,36,Bachelor,Full-time,,
Information Security and Intelligence,Ferris State University,"Big Rapids, Michigan, United States","The Bachelor of Science in Information Security and Intelligence program at Ferris State University prepare you for a variety of careers in corporate, governmental, law enforcement and defense settings. ","11,193 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science and Engineering,Eindhoven University of Technology (TU/e),"Eindhoven, Netherlands","As a student of Computer Science and Engineering from Eindhoven University of Technology (TU/e) you learn the basic principles and methods to develop software systems and web services, and how to take the user perspective into account. ","11,200 EUR / year",month,36,B.Sc.,Full-time,,
Sports Analytics,California Baptist University,"Riverside, Ohio, United States","In this interdisciplinary program, students of the Sports Analytics program at California Baptist University  develop innovative, analytical skills and mathematical talent as well as computer science proficiency—and will learn how to apply these skills to the world of athletics.","28,566 EUR / year",month,48,B.Sc.,Full-time,,
Digital Communication,Calvin College,"Grand Rapids, Michigan, United States","The Digital Communication (DC) Group Major at Calvin College is shared between the Communication Arts and Sciences and the Computer Science Departments, with cognate courses required in Art and English.  ",716 EUR / credit,month,48,B.A.,Full-time,,
Database Application Development,American Public University,Online,"The Associate of Science in Database Application Development at American Public University System focuses on the theory, principles, practices, methodologies, competencies, tools, and technologies associated with database application development. ",247 EUR / credit,month,2,Associate Degree,Full-time,,
Information Systems - Database,Liberty University,Online,"With opportunities in a wide range of industries, graduates of database administrator degrees like the online BS in Information Systems - Database from Liberty University can choose from many rewarding careers in business, education, healthcare, criminal justice, and other fields.",395 EUR / credit,month,42,B.Sc.,Part-time,,
Software Engineering (Hons),Taylor's University,"Subang Jaya, Malaysia","The Bachelor of Software Engineering (Hons) programme at Taylor's University is designed to prepare students who want to pursue a future in the software engineering industry with in-depth knowledge, skills and technical know-how to design an entire engineering system, by combining the study of Computer Science and Engineering.","9,206 EUR / year",month,36,Bachelor,Full-time,,
Artificial Intelligence,Johannes Kepler University Linz,"Linz, Austria","Autonomous vehicles, healthcare robots, intelligent household appliances, autonomous irrigation and fertilizer systems, smart digital assistants: Artificial Intelligence is finding its way into our everyday lives. Be at the forefront to help shape the great digital revolution. Explore the Artificial Intelligence degree offered by Johannes Kepler University Linz!",726 EUR / year,month,36,B.Sc.,Full-time,Blended Learning,
Computing Science (Honours),African Leadership University,"Pamplemousses, Mauritius","The ALU Undergraduate Programme is designed with your future in mind. We believe in preparing our students for the world of tomorrow filled with new ideas, big challenges and jobs that haven’t even been created yet. With that in mind, we have crafted a learning experience that allows you to continually apply the skills you learn, both in and out of the classroom and in everything you do.","17,343 EUR / year",month,48,B.Sc.,Full-time,,
Information Systems,Northwestern University,"Evanston, Illinois, United States",The Information Systems program of Northwestern University is the area of computer science that focuses on analyzing the information needs of organizations and devising IT solutions that meet cost requirements and promote strategic goals.,"1,720 EUR / credit",month,60,B.Sc.,Part-time,,
Mathematics and Statistics and Operational Research,Queen's University Belfast,"Belfast, N Ireland, United Kingdom",This is a three-year Mathematics and Statistics and Operational Research degree programme at Queen's University Belfast that is focused on mathematical approaches for quantitative management. Mathematics is core to most modern-day science and has important applications in industry and commerce. ,"18,652 EUR / year",month,36,B.Sc.,Full-time,,
Mathematics and Statistics and Operational Research,Queen's University Belfast,"Belfast, N Ireland, United Kingdom",This is a four-year Mathematics and Statistics and Operational Research degree programme at Queen's University Belfast that is focused on mathematical and statistical approaches for quantitative management. Mathematics and statistics are core to most modern-day science and have important applications in industry and commerce. ,"18,652 EUR / year",month,48,Bachelor,Full-time,,
Foundation Programme,Maastricht University,"Maastricht, Netherlands","The Foundation Programme is for motivated, international students who want to do a bachelor’s programme at Maastricht University but do not meet the entry requirements.","14,000 EUR / full",month,9,Pre-Bachelor,Full-time,,
