course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
Statistics,Hasselt University,"Hasselt, Belgium","The Master of Statistics at Hasselt University combines a solid study of principles of applied statistics and biostatistics with up-to-date information on topics such as clinical trials, public health, longitudinal data, survival analysis, genetics and survey methodology.","2,083 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Artificial Intelligence - Cognitive Science,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands",The Artificial Intelligence - Cognitive Science programme from Vrije Universiteit Amsterdam focuses on the processes that underlie human functioning from two different research perspectives: empirical work and computational modeling. The combination of these two perspectives allows for a better understanding of the mechanisms underlying human functioning.,"14,500 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioinformatics,Moscow Institute of Physics and Technology (MIPT),"Moscow, Russia","As a student in the Bioinformatics for Industry program at Moscow Institute of Physics and Technology (MIPT), you will learn how to manage methods and software tools to process and analyze large-scale data generated from wet lab experiments in Omics research.","5,969 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Geographic Information Systems,Johns Hopkins University,Online,The online Geographic Information Systems certificate from Johns Hopkins University is geared to part-time professionals and is available entirely online. Our faculty members are thought leaders and innovators in the new data science that is GIS.,"3,569 EUR / full",month,9.0,Postgraduate Certificate,Part-time,,,,Master's,Postgraduate Certificate,Part-time,No,No,No
Information Technology,Halmstad University,"Halmstad, Sweden","As an information technologist, you can help solve many of society’s future challenges in, for example, autonomous vehicles and health care. The Information Technology programme of Halmstad University develops your knowledge of information technology with a special focus on machine learning and computer technology.","13,594 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Analytics,College of Saint Rose,"Albany, New York, United States","It’s all about the numbers in nearly every industry. But you have to know what to do with them. The Business Analytics program at College of Saint Rose is an intensive, applied education designed to help you make your mark in “big data.”",691 EUR / credit,month,12.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Geographical Information Systems,University of Leicester,"Leicester, England, United Kingdom","This Geographical Information Systems degree offered at the University of Leicester looks at the systems and software used to analyse geographic data. GIS is an increasingly important field, with real-world applications in areas like business, modelling, environmental protection, forecasting and regional planning.","19,207 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Engineering Data Analytics,University of Wisconsin Madison,Online,"We improve the practice of engineering by providing world-class, objective continuing education and credit instruction for technical professionals.  We increase students’ communication skills, enhance the public’s understanding of science and technology, and emulate the Wisconsin Idea. We offer a master degree in Engineering Data Analytics at the University of Wisconsin Madison. ","1,124 EUR / credit",month,24.0,M.Eng.,Part-time,,,,Master's,M.Eng.,Part-time,No,No,No
Data Mining and Knowledge Management,Sorbonne University,"Paris, France","Data mining and knowledge management (DMKM) has become essential for improving the competitiveness of businesses and increasing access to knowledge. DMKM still, however, comes up against major scientific and technological obstacles. This EMMC’s degree in DMKM proposes specialist training in this field.","8,000 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Applied Informatics,Vytautas Magnus University,"Kaunas, Lithuania","The aim of the Applied Informatics Master study programme at the Vytautas Magnus University is to prepare broad-minded highly qualified information technology (IT) specialists, capable of performing analysis of (big) data (text, signals, multimedia, etc.) by applying data mining techniques and tools, designing, developing and deploying data analytics solutions. ","4,234 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Geographic Information Systems,Johns Hopkins University,Online,The Master of Science in Geographic Information Systems from Johns Hopkins University is designed for students looking to enter this lucrative and exciting field.,"3,569 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information and Communication Technology (Computer Information Systems),University of Malta,"Msida, Malta",The Master of Science in Information and Communication Technology (Computer Information Systems) from University of Malta aims to provide areas of excellence in the field of ICT that are suitable for the Information and Communications industry. ,"13,400 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioinformatics,Indiana University Bloomington,"Bloomington, Indiana, United States","The M.S. in Bioinformatics is a two-year professional program at Indiana University Bloomington that emphasizes computation and informatics but also integrates knowledge from biology, mathematics, and related areas. It prepares students to pursue a bioinformatics career or admission to a Ph.D. program.","26,484 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Biomedical Informatics - Applied Biomedical Informatics Track,The University of Texas Health Science Center at Houston,Online,The University of Texas School of Biomedical Informatics at Houston offers a Master's Degree in Biomedical Informatics with two tracks: the traditional research track and the applied biomedical informatics track. Both tracks provide students knowledge and skills to deliver innovative solutions to real-world problems in health information technology.,755 EUR / credit,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Artificial Intelligence,University of Liverpool Online Programmes,Online,"This specialist MSc Artificial Intelligence programme from University of Liverpool Online Programmes is designed to develop your skillset within this area, cultivating your practical skills and developing programming techniques, which will enable you to work effectively within the complex field of AI.  ","19,812 EUR / year",,,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Mathematics and Statistics,University of Southern Queensland,"Toowoomba, Queensland, Australia",The Mathematics and Statistics program from the University of Southern Queensland provides students with the opportunity to further their knowledge in discipline areas critical to their professional responsibilities and interests.,"11,056 EUR / year",month,12.0,Postgraduate Certificate,Part-time,Online,,,Master's,Postgraduate Certificate,Part-time,Yes,Yes,No
Information Technology Management,Golden Gate University,"San Francisco, California, United States","The Master of Science in Information Technology Management program is designed for business professionals who want to advance their careers in positions such as Chief Information Officer (CIO), Chief Technology Officer (CTO), and IT Manager. ",942 EUR / credit,,,M.Sc.,Full-time,Blended Learning,Online,,Master's,M.Sc.,Full-time,Yes,Yes,No
Information Technology,The University of Texas Rio Grande Valley,"Texas City, Texas, United States","The Master of Science (MS) in Information Technology prepares students for positions in industry and education, enhances skills for the practicing professional, and supplies a foundation for study at the doctoral level.","13,134 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioinformatics,Rochester Institute of Technology,"Rochester, New York, United States","The Bioinformatics program of Rochester Institute of Technology combines biotechnology, computer programming, and computational mathematics to prepare you to utilize and create technologies that will discover, treat, and cure a range of medical illnesses.","41,073 EUR / year",month,24.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Information Technology,Loyola University Chicago,"Chicago, Illinois, United States","The Master of Science in Information Technology at Loyola University Chicago is designed for current and aspiring professionals in charge of developing, implementing, operating, and managing information systems in a variety of organizations.",893 EUR / credit,month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Healthcare Informatics,Harrisburg University of Science and Technology,"Harrisburg, Pennsylvania, United States","The 36-credit-hour graduate program in Healthcare Informatics at Harrisburg University of Science and Technology provides unique educational opportunities in this emerging specialty area for experienced clinicians (physicians, nurses, nurse practitioners and physician assistants) and clinically oriented healthcare administrators. ","9,162 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Psychology - Applied Behavior Analysis,Purdue Global,Online,"Pursuing a Master of Science in Psychology - Applied Behavior Analysis from Purdue Global offers a unique opportunity to blend the rich, academic tradition of psychology with exciting, contemporary applications of the science.",363 EUR / credit,month,18.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Health Care Informatics - Professional Science Masters,University of Central Florida,Online,"The innovative Health Care Informatics - Professional Science Masters program of University of Central Florida will prepare you to become a leader in the clinical, management and business aspects of health informatics.","21,638 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Computer and Information Systems Engineering,Tennessee State University,"Nashville, North Carolina, United States","The Master of Science degree program in Computer and Information Systems Engineering is designed to meet the needs of information industry by preparing its graduates with background in computer hardware, computer software and systems approach to the design and development of computer integrated systems.",946 EUR / credit,month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Computer Information Systems,New England College,"Weare, New Hampshire, United States",The Master of Science in Computer Information Systems is designed for students seeking to combine the development of technical competence in information systems with gaining knowledge and furthering skills in managerial and organizational areas. ,"17,943 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology,University of the Potomac-VA Campus,"Vienna, Virginia, United States",Potomac’s Master’s of Science in Information Technology program gives students an advantageous mix of cyber/network preparation with marketable leadership skills for planning and implementing critical computer activities in an organization and managing IT professionals.,"5,056 EUR / year",,,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology - Information Systems,Walden University,Online,"Whether you want to get ahead in your organisation or blaze a new career path, Walden University MS in Information Technology - Information Systems is your gateway to a bright future in IT. ","11,409 EUR / year",month,24.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Computational Intelligence and Data Mining,Czestochowa University of Technology,"Czestochowa, Poland",Apply now for this Computational Intelligence and Data Mining programme offered by Czestochowa University of Technology.,"1,920 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Geoinformatics and Geospatial Intelligence,George Mason University,"Fairfax, Virginia, United States","The Geoinformatics and Geospatial Intelligence program from George Mason University addresses the emerging demand for scientists trained in the collection, organization, analysis, and dissemination of information about physical features, man-made structures, moving objects, people, and events that are geo-referenced or geo-located.","10,143 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology - Software Engineering,Walden University,Online,"Whether you want to get ahead in your organisation or blaze a new career path, Walden University MS in Information Technology - Software Engineering is your gateway to a bright future in IT. ","11,409 EUR / year",month,24.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Applied Statistics and Decision Analytics,Western Illinois University,"Macomb, Illinois, United States",The Master of Science in Applied Statistics and Decision Analytics at Western Illinois University is a multidisciplinary graduate degree program with a unique focus on applied statistics and decision analytics.,"11,953 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bio/Cheminformatics,University of Massachusetts Lowell,"Lowell, Massachusetts, United States","Applicants for admission to the Master of Science Program with a Bio/Cheminformatics at University of Massachusetts Lowelloption typically have an undergraduate degree in computer science or a related discipline such as mathematics, physics, biochemistry or engineering. ","22,791 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Statistics (Certificate NDP),University of Arizona,"Tucson, Arizona, United States"," Our mission of the Statistics (Certificate NDP) at University of Arizona is to develop the next generation of data scientists, trained to meet the challenges of modern interdisciplinary data extraction, analysis, and interpretation.","17,395 EUR / year",month,6.0,Postgraduate Certificate,Full-time,Online,,,Master's,Postgraduate Certificate,Full-time,Yes,Yes,No
Cognitive Computing and Collective Intelligence,University of Jyväskylä,"Jyväskylä, Finland",Students who graduate from the programme will think beyond the routine and will be able not just to adapt to a change but to help to create and control it. The Cognitive Computing and Collective Intelligence programme is offered by the University of Jyväskylä.,"8,000 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Statistical Science,Leiden University,"Leiden, Netherlands","The MSc specialisation in the Statistical Science at Leiden University focuses on statistics in the broad sense, with biostatistics for general medicine and life sciences and statistics in the behavioural sciences.","18,600 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology - Information Assurance and Cyber Security,Walden University,Online,"Whether you want to get ahead in your organisation or blaze a new career path, Walden University MS in Information Technology - Information Assurance and Cyber Security is your gateway to a bright future in IT. ","11,409 EUR / year",month,24.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
Statistics,University of Illinois at Urbana Champaign,"Urbana, Illinois, United States","Statistics graduate students at the University of Illinois at Urbana Champaign have many options to select the curriculum that will best match their long term goals, whether it is to prepare for careers in data intensive industries, to prepare for future leadership as a data scientist, or to prepare for an academic career in statistics or a related field.","24,166 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Artificial Intelligence,The University of Manchester,"Manchester, England, United Kingdom","Artificial Intelligence is a well-established, exciting branch of computer science concerned with methods to make computers, or machines in general, intelligent. The techniques used in AI are as diverse as the problems tackled: they range from classical logic to statistical approaches to simulate brains.The Artificial Intelligence programme is offered at The University of Manchester.","27,517 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Geographical Information Systems and Remote Sensing,Maynooth University,"Maynooth, Ireland","The Geographical Information Systems and Remote Sensing program from Maynooth University aims to  provide an understanding of Geographical Information Systems and Remote Sensing, the technology involved and its applications for specific investigations.","14,000 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Analytics,Michigan State University,"East Lansing, Michigan, United States","The Master of Science degree in Business Analytics from Michigan State University addresses the study, research, and application of analytics. Its focus is on business analytics, the use of data in various forms and often large sets to make optimal business decisions.","24,020 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioinformatics and Systems Biology,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands",Converting this huge volume of data into real understanding is the basic challenge of Bioinformatics research. With the Bioinformatics and Systems Biology programme offered by the Vrije Universiteit Amsterdam you become an expert in this field.,"14,500 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bridge to the Master of Science in Information Technology Management,Grand Canyon University,Online,A dynamic blend of technology and management courses comprises the Bridge to the Master of Science in Information Technology Management program at Grand Canyon University. Students prepare to pursue leadership positions in IT management in corporations and organizations across all industries. ,449 EUR / credit,,,Part-time,Part-time,,,,Master's,Part-time,Part-time & Part-time,No,No,No
Bioinformatics,Hood College,"Frederick, Colorado, United States",The educational objective of the M.S. in Bioinformatics is to ensure that students develop expertise in both the biological and computational concepts needed in today’s research and corporate biotech labs. Bioinformatics is a complex field that drives biological research through the development of computational tools.,432 EUR / credit,,,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Management Large Scale Data Analysis Track,The City University of New York,"New York City, New York, United States","The Master of Science in Business Management Large Scale Data Analysis Track at The City University of New York is designed for a broad spectrum of students with undergraduate degrees in business and related fields, it is focused on strategic management and accounting skills with required courses in major decision-making areas. ",739 EUR / credit,month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioinformatics - Engineering,Ghent University,"Gent, Belgium",Bioinformatics - Engineering aims at gaining a better and preferentially more quantitative molecular understanding of cellular processes by integrating and modeling large amounts of molecular data.,"1,847 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Computer Sciences - Data Engineering,South East European University - Tetovo,"Tetovo, Macedonia (FYROM)",Changes in the field of computer sciences and their application are very dynamic. The main challenge of the research and studies in this area is developing new advanced systems and technologies that will provide solutions in the area of information and communication technologies.,,month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
"Methodology and Statistics for the Behavioural, Biomedical and Social Sciences",Utrecht University,"Utrecht, Netherlands","The Methodology and Statistics for the Behavioural, Biomedical and Social Sciences programme at Utrecht University is recognised as a high quality programme and has been awarded high ratings in the past years by established rankings in the Netherlands.  ","17,078 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Life Science Informatics,Deggendorf Institute of Technology,"Deggendorf, Germany","Analyzing and understanding the human genome, epigenome and the associated transcriptome is a growing challenge. Apply now for this Life Science Informatics programme at Deggendorf Institute of Technology",0 EUR / year,month,18.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Analytics,University of Tennessee Knoxville,"Knoxville, Tennessee, United States","The Haslam College of Business’ Master of Science in Business Analytics  from University of Tennessee Knoxville develops a student’s technical acumen in deriving insights from large data sets as well as business fundamentals and soft skills like leadership, team work and presentations.","3,457 EUR / year",month,24.0,M.B.A.,Full-time,,,,Master's,M.B.A.,Full-time,No,No,No
Precision Medicine - Genomics and Analytics,University of Leeds,"Leeds, England, United Kingdom","This distinctive Precision Medicine - Genomics and Analytics programme from University of Leeds has been designed to directly meet research needs in industry and academia where there is a need for scientists with both biological knowledge and the computational, statistical and analytical skills to drive genomic precision medicine.",,month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Analytics-Operational Research and Risk Analysis,The University of Manchester,Multiple locations,"You will learn the fundamental theories, approaches and analytical toolkit of data analytics, decision sciences, applied operational research and statistics studying the Business Analytics-Operational Research and Risk Analysis at The University of Manchester.","26,416 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information System Governance,IMT Atlantique - Graduate Engineering School,"Brest, France","The Information System Governance programme at IMT Atlantique - Graduate Engineering School is aimed at future experts in IT project management and IT & organization consulting, providing them with the necessary skills to analyze the effects of establishing an information system, to participate in the implementation of such a system, and to measure the actual effects of using such systems.","2,550 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Analytics,Golden Gate University,"San Francisco, California, United States",The Master of Science in Business Analytics (MSBA) program from Golden Gate University opens the door to this lucrative world by providing courses that are designed for application of analytics to address real-world business challenges.,942 EUR / credit,,,M.Sc.,Full-time,Blended Learning,Online,,Master's,M.Sc.,Full-time,Yes,Yes,No
Learning Analytics (Research),University of Technology Sydney,"Sydney, New South Wales, Australia",This Master of Learning Analytics (Research) degree at the University of Technology Sydney requiring an original and significant contribution to knowledge in the field of learning analytics.,"21,767 EUR / year",month,24.0,Full-time,Full-time,Part-time,,,Master's,Full-time,Full-time & Full-time & Part-time,No,No,No
Analytics,Bowling Green State University,"Bowling Green, Kentucky, United States","Why a MS in Analytics Degree at the Bowling Green State University? The explosion of modern computing power and data acquisition techniques has created a job market which seeks people with a strong background in fundamental statistical analysis, operations research, management of information systems, and computer science.","16,143 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioinformatics MicroMasters Program,University System of Maryland - USMx,Online,EdX is an online learning platform trusted by over 12 million users offering the Bioinformatics MicroMasters Program in collaboration with University System of Maryland - USMx and UMUC.,646 EUR / full,month,6.0,Pre-Master,Part-time,,,,Master's,Pre-Master,Part-time,No,No,No
Geographic Information Science and Technology,University of Southern California,Online,The online M.S. in Geographic Information Science and Technology (GIST) at University of Southern California equips students with an understanding of how spatial data shapes decisions in the modern world and provides hands-on experience with leading-edge GIS tools.,"49,486 EUR / year",month,20.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioinformatics,University of Memphis,"Memphis, Tennessee, United States","Bioinformatics is an emerging multidisciplinary field which combines mathematical and computer science approaches to solve biological problems. The Master’s in Bioinformatics is designed to train highly skilled individuals with fundamental understanding of computer programming and data structures, statistical analysis of data, as well as genomics and systems biology.",601 EUR / credit,month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Applied MSc in Data Analytics,Data ScienceTech Institute,"Nice, France","Our Applied MSc in Data Analytics programme, with its two entries in Autumn and Spring, will enable you to increase your business skills and job opportunities by strengthening decision-making through data analysis. You will master the techniques and tools needed to conduct and deliver your analyses with relevant and structured reports, improving the return on investment of your company’s projects.",,,,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
"Digital Business, Data Analysis and Management",SKEMA Business School,"Sophia Antipolis, France","The multidisciplinary Digital Business, Data Analysis and Management programme at the SKEMA Business School combines the fields of strategy, economics, marketing and information systems. It provides students with the knowledge and skills necessary to work in a data-rich digital environment.","17,000 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
"Remote Sensing, geoInformation and Visualization",University of Potsdam,"Potsdam, Germany","This English-language master’s degree Remote Sensing, geoInformation and Visualization program at the University of Potsdam, focuses on the gathering, processing, analysing, and presentation of geoscientific spatial data by using remote-sensing technologies and data-processing methods.",0 EUR / year,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Management Information Systems,Oklahoma State University,"Stillwater, Oklahoma, United States",The Master of Science in Management Information Systems Program (MS in MIS) focuses on providing solutions to business information and data needs.,757 EUR / credit,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Data Analytics,University of Strathclyde,"Glasgow, Scotland, United Kingdom","Studying a degree in Data Analytics at the University of Strathclyde, you'll be learning at a multi-award-winning academic organisation. ","22,399 EUR / year",month,12.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Machine Learning and Statistics,Uppsala University,"Uppsala, Sweden","The Machine Learning and Statistics program from Uppsala University will provide you with the knowledge, tools and skills to succeed in a wide range of different positions that involve the analysis of large amounts of data. ","13,868 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Data Analytics (Professional),Bond University,"Gold Coast, Queensland, Australia",The professional Master of Business Data Analytics (Professional) program at Bond University follows the same structure as the Master of Business Data Analytics with an additional 20-week Professional Portfolio component. ,"17,041 EUR / year",month,21.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Data Engineering and Analytics,Technical University of Munich,"Garching bei München, Germany",The master's degree program in Data Engineering and Analytics at Technical University of Munich deals with innovative solutions for handling and analyzing very large amounts of data.,0 EUR / year,month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioanalytics,University of Applied Sciences and Arts Northwestern Switzerland,"Basel, Switzerland","Students are given a comprehensive bioanalytical education allowing them to take over responsibility in research and development in analytical laboratories, medical laboratories, clinics, contract research organizations and pharmaceutical companies. This master degree in Bioanalytics is offered by the University of Applied Sciences and Arts Northwestern Switzerland.","9,360 EUR / year",month,18.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Marketing Analytics,University of Maryland,"College Park, Maryland, United States","The Master of Science in Marketing Analytics at the University of Maryland’s Robert H. Smith School of Business gives you the cutting-edge skills you need to position yourself as a leader in marketing analytics, applying sophisticated methods to analyze Big Data and solve marketing problems.","52,247 EUR / full",month,10.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Spatio-temporal Analytics and Big Data Mining,University College London (UCL),"London, England, United Kingdom","The Spatio-temporal Analytics and Big Data Mining program from University College London (UCL) teaches the foundations of GIScience, databases, spatial analysis, data mining and analytics to equip professionals with the tools and techniques to analyse, represent and model large and complex spatio-temporal datasets.","31,402 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Sciences and Technologies,Rochester Institute of Technology,"Rochester, New York, United States",The Information Sciences and Technologies program of Rochester Institute of Technology dives deeper into the study of how information is understood and applied as you work to solve the unexplored problems that are challenging the computing industry.,"41,073 EUR / year",month,24.0,M.Sc.,Full-time,Online,,,Master's,M.Sc.,Full-time,Yes,Yes,No
Business Data Analytics,Bond University,"Gold Coast, Queensland, Australia","In a global marketplace built on data collection, targeted communication strategies, machine learning and artificial intelligence, it’s not enough to gather information and crunch the numbers; you have to know how to apply that data to real-life scenarios in a way that will impact behaviour. That’s what makes the Master of Business Data Analytics from Bond University so unique.","19,669 EUR / year",month,16.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Data and Knowledge Management,The University of Manchester,"Manchester, England, United Kingdom",The Data and Knowledge Management pathway from The University of Manchester allows students to take specialist themes concerned with methods and technologies for the adequate management of data and knowledge. ,"27,517 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Environmental Health Data Analytics,Boston University,"Boston, Massachusetts, United States",The MS in Environmental Health Data Analytics program at Boston University provides foundational knowledge in both the environmental health sciences and analytical approaches used to inform environmental policy decisions.,"47,294 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Business Analytics,Saint Mary's College of California,"Moraga, California, United States","The Business Analytics program at Saint Mary's College of California will help demystify data and equip you with concrete skills you can apply in your everyday decision-making. As data volumes have grown exponentially, organizations are looking for the talent necessary to turn the data into information.","38,980 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Statistics with Data Analytics,Brunel University London,"London, England, United Kingdom",The Statistics with Data Analytics course offered by Brunel University London is designed to train the next generation of statisticians with a focus on the field of data analytics. Employers expect skills in both statistics and computing.,"21,221 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Scientific and Data Intensive Computing,University College London (UCL),"London, England, United Kingdom",The Scientific and Data Intensive Computing program from University College London (UCL) aims to provide a rigorous formal training in computational science to produce highly computationally skilled scientists and engineers capable of applying numerical methods and critical evaluation of their results to their field of science or engineering.,"31,842 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Health Informatics,University of Pittsburgh,"Pittsburgh, Pennsylvania, United States","Through a Master of Science in Health Informatics (HI) at the University of Pittsburgh or one of our HI certificate programs, you'll learn how to use data and technology to improve the value of health care. ","40,461 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Bioinformatics,Aarhus University,"Aarhus, Denmark","The Bioinformatics programme of Aarhus University addresses the challenges of big data in modern biology and biomedicine, a bioinformatician must combine practical and theoretical skills in statistical modelling, data analysis, and computer programming with a deep knowledge of biology and biomedicine.","14,500 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Computing for Information Professionals,"Birkbeck, University of London","London, England, United Kingdom","This intensive Computing for Information Professionals programme at Birkbeck, University of London in computing provides an excellent grounding for applying programming and data science skills in industry. ",,month,12.0,Postgraduate Certificate,Part-time,,,,Master's,Postgraduate Certificate,Part-time,No,No,No
Pre-Master's - Mathematics and Data Science,University of Stirling,"Stirling, Scotland, United Kingdom",Pre-Master's - Mathematics and Data Science at INTO University of Stirling is specifically created for progressing to a certain type of Master’s upon graduation. ,"11,832 EUR / year",month,6.0,Pre-Master,Full-time,Blended Learning,,,Master's,Pre-Master,Full-time,Blended,Blended,No
Cloud Computing for Big Data,Newcastle University,"Newcastle upon Tyne, England, United Kingdom","Cloud computing is revolutionising the way that large, and often complex, datasets are stored and analysed. The Cloud Computing for Big Data course from Newcastle University aims to produce experts in cloud computing and big data required by academia and industry.","26,196 EUR / year",month,12.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Data Visualisation,University of the Arts London (UAL),"London, England, United Kingdom","The Data Visualisation programme offered by the University of the Arts London (UAL) is a practice-led course where students research, interpret, critique and visualise data using a range of media, tools and techniques.","20,182 EUR / year",month,15.0,M.A.,Full-time,,,,Master's,M.A.,Full-time,No,No,No
Data Analytics,Faculty of Technology,"Portsmouth, England, United Kingdom","If you love finding trends, patterns and valuable information hidden inside complicated data sets, our MA Data Analytics degree course at University of Portsmouth will help you develop the skills and knowledge you need to succeed.","18,051 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
