course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Applied Data Science,TED University,"Ankara, Turkey","Being recognized at a great pace from the beginning of 2000s, the concept of data science, the aim of which is to extend the application range of statistics, has become one of the most needed professional branches of the century in recent years. Learn more in the Applied Data Science programme at TED University.","4,625 EUR / year",month,18,Full-time,,,,
Internet of Things with Industrial Experience,Queen Mary University of London,"London, England, United Kingdom",Internet of Things with Industrial Experience offered at Queen Mary University of London will help you adapt to become one of the highly skilled and in-demand engineers who are able to fully exploit the potential that these technologies offer.,"25,108 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science for Business and Economics,Abdullah Gül University (AGU),"Kayseri, Turkey","Data science aims to provide firms and policy makers with the ability to make more accurate predictions and make optimal decisions, considering market share, competitiveness, consumer preferences by integrating quantitative calculation and analysis methods.",225 EUR / year,month,24,M.Sc.,Full-time,,,
Data Science,University of Saint Thomas Saint Paul,"Saint Paul, Minnesota, United States","The M.S. degree in Data Science prepares students to pursue careers in the emerging and high-growth fields of data science and big data. It combines in-depth understanding with hands-on skills, technologies, techniques, and analysis tools for data science.",932 EUR / credit,,,M.Sc.,Full-time,,,
High Performance Computing and Big Data Analytics,University Babes-Bolyai,"Cluj-Napoca, Romania",The High Performance Computing and Big Data Analytics program at University Babes-Bolyai aims at providing students with the appropriate tools for further doctoral studies and professional activity.,"6,000 EUR / year",month,24,Full-time,,,,
Computer Science: Data Science,University of Antwerp,"Antwerpen, Belgium","During your study at the Computer Science: Data Science program here at the university of Antwerp you can live through a wide variety of applications of computer science. As a student you will get first hand experience in a challenging, creative, dynamic and multi-disciplinary environment where you can contribute to the realisation of international projects.","5,800 EUR / year",month,24,M.Sc.,Full-time,,,
Data Engineering,Uppsala University,"Uppsala, Sweden","The Data Engineering program from Uppsala University will provide you with the knowledge, tools and skills to succeed in a wide range of different positions that involve the analysis of large amounts of data. ","13,868 EUR / year",month,24,M.Sc.,Full-time,,,
"Graduate Diploma in Business, Finance and Sport - Finance and Data Analytics",INTO University of Stirling,"Stirling, Scotland, United Kingdom","INTO makes sure you can get into the Master’s of your dreams by offering the Graduate Diploma in Business, Finance and Sport - Finance and Data Analytics at INTO University of Stirling.","17,653 EUR / year",month,9,Pre-Master,Full-time,,,
Interdisciplinary Data Science,Duke University,"Durham, North Carolina, United States","The Master in Interdisciplinary Data Science program offered by Duke University combines rigorous computational and technical training with field knowledge and repeated practice in critical thinking, teamwork, communication, and collaborative leadership to generate data scientists who can add value to any field.","50,208 EUR / year",month,24,M.Sc.,Full-time,,,
Information Management and Digital Business - Big Data in Business - Master's Foundation Programme,ONCAMPUS Reading,"Redhill, England, United Kingdom","This Information Management and Digital Business - Big Data in Business - Master's Foundation Programme from ONCAMPUS Reading is designed to prepare international students, who have completed a Bachelor's degree, for entry to postgraduate studies at the University of Reading. ","20,958 EUR / year",month,9,Pre-Master,Full-time,,,
Data Science and Mathematical Modeling,Siberian Federal University,"Krasnoyarsk, Russia","The program is designed for students with a background in Mathematics, Physics, Natural Sciences, Computer Science or Engineering. The main goal is to train highly-skilled professionals in the field of Data Science and Mathematical Modeling. The graduates of this program will be very competitive at the international labor market.","3,630 EUR / year",month,24,M.Sc.,Full-time,Blended Learning,,
Data Science,University of San Francisco,"San Francisco, California, United States",The Data Science degree at University of San Francisco delivers a rigorous curriculum focused on mathematical and computational techniques in the emerging field of data science. ,"1,283 EUR / credit",month,12,M.Sc.,Full-time,,,
Data Science,Sapienza University of Rome,"Roma, Italy","The Data Science program at the Sapienza University of Rome offers an interdisciplinary approach gathering contributions from Engineering, Computer Science, Statistics, Economic and Organizational Sciences, as well as specific knowledge of the main Data Science application domains. ","2,924 EUR / year",month,24,M.Sc.,Full-time,,,
Project Management and Data Science,HTW Berlin,"Berlin, Germany","The Master’s degree programme in Project Management and Data Science at HTW Berlin will help you to successfully manage and supervise projects in the international environment as well as facilitate, process and interpret extensive data sets and carry out analyses across different disciplines. ","8,000 EUR / year",month,24,M.Sc.,Full-time,,,
Computer Science: Data Science,The University of Tennessee at Chattanooga,"Chattanooga, Tennessee, United States","The Computer Science: Data Science program at The University of Tennessee at Chattanooga requires a student to complete a minimum of 33 semester hours of graduate work including a thesis, or 36 semester hours of graduate work including a project. ","15,142 EUR / year",month,12,M.Sc.,Full-time,,,
Big Data Analytics Stream: Applied Modelling and Quantitative Methods,Trent University,"Oshawa, Canada",Big Data Analytics Stream: Applied Modelling and Quantitative Methods at Trent University is an interdisciplinary program which provides for study towards an M.Sc. or M.A. degree in the application of techniques and theory of modelling in the natural sciences and social sciences.,"13,710 EUR / year",month,16,M.Sc.,Full-time,Part-time,,
Business Innovation and Informatics,University of Salerno,"Fisciano, Italy","The Business Innovation and Informatics programme of University of Salerno is offered by the Departement of Business Science, Management and Innovation Systems / DISA-MIS of the University of Salerno.",800 EUR / year,month,24,M.Sc.,Full-time,,,
Operational Research with Data Science,The University of Edinburgh,"Edinburgh, Scotland, United Kingdom","This Operational Research with Data Science programme from The University of Edinburgh will show you how to use mathematical techniques to tackle real-life problems ranging from scheduling flights, handling large data sets to managing investments and minimizing risks. The skills of Operational Research (OR) and Data Science are in high demand. ","26,432 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
e-Science,"University of the Witwatersrand, Johannesburg","Johannesburg, South Africa","The Masters of Arts by coursework and research report in the field of e-Science from the University of the Witwatersrand, Johannesburg is completed over 18 months.","2,553 EUR / year",month,18,M.A.,Full-time,,,
Information Technology,Northwestern University,"Evanston, Illinois, United States","The Information Technology program of Northwestern University is uniquely designed for information technology professionals who want to improve and broaden their technical skills, while learning the application of business principles.","30,588 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science and Business Statistics,The Chinese University of Hong Kong,"Hong Kong, Hong Kong (SAR)",The Data Science and Business Statistics programme at The Chinese University of Hong Kong is organised by the Department of Statistics at the Chinese University of Hong Kong. It focuses on data analysis skills and explores core areas of applied and business statistics. This is a part-time taught programme that is based primarily on coursework.,"8,047 EUR / year",month,24,M.Sc.,Part-time,,,
Data Analytics,Alliant International University,"Poway, California, United States",Never before have we had such a vast amount of information at our fingertips. And never before have you had such tremendous opportunity to discover what data can do for the world.,650 EUR / credit,month,24,M.Sc.,Full-time,,,
Networking and Data Communications with Management Studies,Kingston University,"London, England, United Kingdom","The Networking and Data Communications with Management Studies course at Kingston University will provide you with the opportunity to gain a sound understanding of the internet protocol suite that forms the core for current data networks. The fusion of the internet world and multimedia is also addressed, as well as wireless communications. You can combine this course with management studies.","16,775 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Statistics and Machine Learning,Linköping University,"Linköping, Sweden","This Statistics and Machine Learning programme from Linköping University meets the challenges of learning from these complex volumes by means of models and algorithms from machine learning, data mining and other computer-intensive statistical methods. By joining us, you will increase the efficiency and productivity of the systems and make them smarter and more autonomous.","9,053 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,University of Pennsylvania,"Philadelphia, Pennsylvania, United States","The Data Science program of University of Pennsylvania studies the emerging discipline of data science that has become essential to making decisions, understanding observations, and solving problems in today’s world.","6,339 EUR / module",month,18,Full-time,,,,
Data Science and Analytics,Cardiff University,"Cardiff, Wales, United Kingdom",This Data Science and Analytics course from Cardiff University will equip students with a theoretical understanding and practical experience of applying methods drawn from data science and analytics. You will develop a range of in-demand skills for extracting and handling ‘big data’ and applying modelling tools to help businesses and government organisations make better decisions.,,month,12,M.Sc.,Full-time,Part-time,,
Data Science and Analytics,Royal Holloway University of London,"London, England, United Kingdom"," Study the Data Science and Analytics course at Royal Holloway University of London and you’ll develop the practical skills needed to handle and analyse data in a wide variety of fields, preparing you for a rewarding career in Big Data. ","23,177 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,"University of the Witwatersrand, Johannesburg","Johannesburg, South Africa","The MSc by Coursework and Research Report in the field of Data Science fro the University of the Witwatersrand, Johannesburg is offered full-time over 1 year.","2,004 EUR / year",month,12,M.Sc.,Full-time,,,
Applied Data Science,University of Gothenburg,"Göteborg, Sweden","Data Science is concerned with extracting meaning from large volumes of data. It is a field that has grown rapidly in recent years as a result of the increasing availability of large data sets, and the opportunities and challenges that these present. The Applied Data Science programme is offered by University of Gothenburg.","13,674 EUR / year",month,24,M.Sc.,Full-time,,,
Data Analytics and Visualization,Yeshiva University,"New York City, New York, United States",Modern businesses need skilled experts to sift through and interpret mass amounts of data in order to inform strategy and help guide decisions.,832 EUR / credit,,,M.Sc.,Full-time,,,
Applied Data Science,University of Central Lancashire (UCLan),"Preston, England, United Kingdom",This Applied Data Science course at University of Central Lancashire (UCLan) has been carefully planned and is designed to develop your knowledge and skills in modern data science practice. It combines a project-based approach with opportunity for personal development through a flexible and supportive learning experience.,"15,672 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,University of Sydney,"Sydney, New South Wales, Australia",The Data Science program at the University of Sydney is a professional degree for people who are passionate about drawing meaningful knowledge from data to drive business decision-making or research output. It will develop your analytical and technical skills to use data science to guide strategic decisions in your area of expertise.,"28,449 EUR / year",month,12,Full-time,Part-time,,,
Governance of Digitalization,Åbo Akademi University,"Turku, Finland",The Governance of Digitalization programme of Åbo Akademi University combines latest knowledge from the fields of information systems and information studies in a unique way that gives its graduates a comprehensive and cross-disciplinary competence.,"10,000 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,RMIT University,"Melbourne, Victoria, Australia",Harness the power of big data and become a data scientist with this Master of Data Science from RMIT University.,"21,968 EUR / year",month,24,Full-time,Part-time,,,
Public Health Data Science,University of Bordeaux,"Bordeaux, France","This international Master Public Health Data Science program at University of Bordeaux provides a year of international research into public health data science, from project design to real life health data analysis and the communication of results.","3,770 EUR / year",month,12,Full-time,,,,
Stochastics and Data Science,University of Turin,"Torino, Italy","The M.Sc. in Stochastics and Data Science at University of Turin is a two-year graduate course that aims at preparing students with a modern education in probabilistic, statistical and computational methods.",,month,24,M.Sc.,Full-time,,,
Data Science,University of Wroclaw,"Wroclaw, Poland","The Data Science program at the University of Wroclaw is a unique combination of solid mathematical background and computer science applications. Not only will you learn how to use tools, such as deep neural networks, but you will gain profound understanding why they work.",,month,24,Full-time,,,,
Computer Science - Big Data Systems,Arizona State University,"Tempe Junction, Arizona, United States","The goal of this Computer Science - Big Data Systems program from Arizona State University is to provide students the knowledge, skills and the advanced research expertise in designing scalable (parallel, distributed, and real-time) systems for acquiring, storing, processing, and accessing large-scale heterogeneous multi-source data and in using analytical tools to mine information from the data. ","21,852 EUR / year",month,12,Full-time,,,,
Data Science: Computer Science,Leiden University,"Leiden, Netherlands","The Data Science: Computer Science master's specialisation at Leiden University equips you with state-of-the-art knowledge in the advanced statistical techniques, machine learning and algorithmic aspects of data analysis.","18,600 EUR / year",month,24,M.Sc.,Full-time,,,
Computational and Data Journalism,Cardiff University,"Cardiff, Wales, United Kingdom","The Computational and Data Journalism programme from Cardiff University is a cutting-edge programme based at one of the UK’s leading Journalism Schools. It is jointly delivered by the School of Journalism, Media and Culture and the School of Computer Science and Informatics.",,month,12,M.Sc.,Full-time,,,
Data Science with Business,The University of Exeter,"Exeter, England, United Kingdom","MSc Data Science with Business at The University of Exeter combines core Data Science modules, taken from MSc Data Science, with modules in Management, Strategy, Marketing and Accounting.","23,121 EUR / year",month,12,M.Sc.,Full-time,,,
Applied Data Science,University of Southern Queensland,"Toowoomba, Queensland, Australia",The Applied Data Science program from the University of Southern Queensland aims to produce graduates who are equipped with essential scientific knowledge and an appreciation of the latest literature and technologies.,"22,165 EUR / year",month,24,M.Sc.,Full-time,Part-time,Online,
Analytics,Villanova University,Online,"In today’s digital economy, the ability to collect large amounts of quantifiable data and transform it into actionable intelligence is a factor in successfully competing in the global marketplace. As a result, data and the analytics experts are in high demand. That’s why now is the perfect time to earn your Master of Science in Analytics program of Villanova University.","1,192 EUR / credit",month,24,M.Sc.,Full-time,,,
Data Science,University of Queensland,"Brisbane, Queensland, Australia","University of Queensland offers the most comprehensive Data Science program in Australia, which combines high-level analytical and technical skills with industry-specific knowledge and essential professional attributes.","27,905 EUR / year",month,18,Full-time,Part-time,,,
Data Science,Robert Gordon University,"Aberdeen, Scotland, United Kingdom","This MSc Data Science course offered at the Robert Gordon University produces specialist Data Scientists who can design and implement computer-analytics and visualisation solutions for industry. With an emphasis on Big Data, you will gain an understanding of the needs of businesses and how to manage requirements in this emerging international area of focus for companies, governments and economies.","18,707 EUR / year",month,12,Full-time,Part-time,,,
Big Data Analytics,San Diego State University,"San Diego, California, United States","The San Diego State University's Big Data Analytics Program is a transdisciplinary program across technology, business, engineering, science, and social science domains leading to a Master of Science Degree in Big Data Analytics at San Diego State University.","7,737 EUR / year",month,24,M.Sc.,Full-time,,,
Business Analytics and Big Data,IE,"Segovia, Spain","The Master in Business Analytics and Big Data from IE positions students to tackle the biggest challenges in our data-driven era. Nail down skills in data science, business transformation, and big data technologies to turn data into a powerful driver of disruption in any company, in any industry.","35,200 EUR / year",month,10,Full-time,,,,
Applied Data Science,Bay Path University,Online,"At the Applied Data Science course at Bay Path University, we’ll provide you with a framework for working together regardless of your background and experience. ",741 EUR / credit,month,12,M.Sc.,Full-time,Part-time,,
Data Communications,University of Sheffield,"Sheffield, England, United Kingdom",Data Communications degree offered at University of Sheffield is where brilliant ideas are turned into advanced technology. Our expert staff are at the top of their game.,"26,212 EUR / year",month,12,M.Sc.,Full-time,,,
Management and Data Science,Leuphana University of Lüneburg,"Lüneburg, Germany",The Management and Data Science programme of Leuphana University of Lüne­burg is ge­a­red towards stu­dents wan­ting to ad­van­ce their skills in the data ana­ly­sis of real-world pheno­me­na.,0 EUR / year,month,24,M.Sc.,Full-time,,,
Data Analytics,Queensland University of Technology,"Brisbane, Queensland, Australia","This Data Analytics course at Queensland University of Technology is designed to specifically meet industry needs. We’ve brought together expertise in statistics, computer science, and business process management disciplines to deliver real-world learning opportunities.","21,460 EUR / year",month,24,Full-time,,,,
Big Data and Business Intelligence,University of Greenwich,"City of London, England, United Kingdom",Study the MSc Big Data and Business Intelligence at the University of Greenwich and gain a deeper knowledge that will allow you contribute to the development and design of big data systems,"15,451 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Analytics,Queen Mary University of London,"London, England, United Kingdom",Data Analytics programme offered at Queen Mary University of London will teach you the core mathematical principles of data analysis and how to apply these to real world scenarios. ,"26,432 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Analytics,London Metropolitan University,"London, England, United Kingdom",Data Analytics of London Metropolitan University has been developed with direct input from industry experts who’ll present you with real-life business cases as part of your work-related learning. ,"14,623 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Analytics,University of Chicago,"Chicago, Illinois, United States","Building from a core in applied statistics, the MS in Analytics at University of Chicago provides students with advanced analytical training to develop their ability to draw insights from big data, including: data collection, preparation and integration; statistical methods and modeling; and other sophisticated techniques for analyzing complex data.","4,024 EUR / module",month,18,M.Sc.,Full-time,Part-time,,
Data Science by Research,Middlesex University,"London, England, United Kingdom","The MSc Data Science by Research at Middlesex University provides an opportunity for students who wish undertake an individual real-world big-data research project; you can choose a project area from a wide variety of interdisciplinary domains, including business information systems, e-health, social media, cloud computing, smart homes, intelligent vehicles and ambient assisted living.","14,899 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Biomedical Data Science and Informatics,Clemson University,"Clemson, South Carolina, United States","This Biomedical Data Science and Informatics interdisciplinary program at Clemson University leverages the broad strength at Clemson spanning computing, engineering, mathematics, biology, public health, and other areas to produce the next generation of data scientists, prepared to manage and analyze big data sources from mobile sensors to genomic and imaging technologies.","23,283 EUR / year",month,12,M.Sc.,Full-time,,,
Computer Science (with a Concentration in Data Science),The University of Texas at San Antonio,"Helotes, Texas, United States","This concentration provides students with the fundamental knowledge in data management, machine learning, data mining, statistics, data visualization, and communicating data. Students will have opportunities to specialize in applications such as health and life sciences as well as to learn critical, generalizable skills. ","21,747 EUR / year",month,24,M.Sc.,Full-time,,,
Spatial Data Science,University of Southern California,"Los Angeles, California, United States","The Master of Science in Spatial Data Science is a cross-disciplinary joint degree program at University of Southern California offered by the Viterbi School of Engineering and the Dornsife College of Letters, Arts and Sciences. Students must be admitted by both the Viterbi School of Engineering and the Dornsife College of Letters, Arts and Sciences.","1,739 EUR / credit",month,12,M.Sc.,Full-time,,,
Renewable Energy and Data Engineering,Offenburg University of Applied Sciences,"Offenburg, Germany","Offenburg University of Applied Sciences's Renewable Energy and Data Engineering Master’s degree program prepares you exactly for this exciting challenge. You will gain expertise in power generation based on solar, wind, hydro, biomass and conventional fuels, on storage, transport and distribution of energy via grids, and on final energy usage and management by customers.","3,000 EUR / year",month,18,M.Sc.,Full-time,,,
Applied Data Science for Business,BPP University,"London, England, United Kingdom","Designed to meet increasing market demand, this MSc Applied Data Science for Business at the BPP University will help professionals who have a passion to develop skills in the emerging field of data science.",,month,24,M.Sc.,Part-time,,,
Business Analytics,University of Dallas,"Dallas, Texas, United States","The Business Analytics program of University of Dallas prepares you to influence strategy, processes and decision-making by exploring relationships through data analysis. Learn the technical skills for deriving meaning from big data, as well as the ability to effectively communicate results to key stakeholders.","1,084 EUR / credit",month,12,M.Sc.,Full-time,Online,,
Big Data Science with Industrial Experience,Queen Mary University of London,"London, England, United Kingdom","The Big Data science movement is transforming how Internet companies and researchers over the world address traditional problems. Big Data Science with Industrial Experience course offered at Queen Mary University of London refers to the ability of exploiting the massive amounts of unstructured data that is generated continuously by companies, users, devices, and extract key understanding from it.","26,432 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,Cardiff Metropolitan University,"Cardiff, Wales, United Kingdom",The M.Sc. in Data Science at Cardiff Metropolitan University provides a professional and popular postgraduate programme of study that develops in students a critical appreciation of data science and the use of software to analyse and synthesise data.,"14,347 EUR / year",month,12,Full-time,Part-time,,,
Information Systems,New Jersey Institute of Technology,"Newark, New Jersey, United States","The Information Systems program delivered by New Jersey Institute of Technology are computer systems that support the operations, management, and decision-making in organizations. Information systems are now an integral part of the work environment of every organization and play a critical role in the running of organizations. ","26,483 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science and Analytics,Claremont Graduate University,"Claremont, California, United States",The MS in Information Systems & Technology with a concentration in Data Science & Analytics explores the ways massive volumes of data can be used to enhance human performance and solve business and societal problems.,"1,717 EUR / credit",month,18,M.Sc.,Full-time,Part-time,,
"Data Science, Technology and Innovation (Online Learning)",The University of Edinburgh,Online,"The Data Science, Technology and Innovation (Online Learning) programme offered by The University of Edinburgh is designed to fully equip tomorrow’s data professionals, offering different entry points into the world of data science – across the sciences, medicine, arts and humanities.","1,010 EUR / module",month,72,Part-time,,,,
Machine Learning and Data Mining,University Jean Monnet (Saint-Étienne),"Saint-Étienne, France",Machine Learning and Data Mining is an international master program of University Jean Monnet (Saint-Étienne) and the Ecole des Mines de Saint-Etienne. It leads to the award of the French national master degre in Computer Science as well as the University Diploma in Machine Learning and Data Mining of the University Jean Monnet.,750 EUR / year,month,24,M.Sc.,Full-time,,,
Global Communication Systems,University of Essex,"Colchester, England, United Kingdom","Starting from the concept of a signal, we cover the fundamentals of how signals are acquired, processed and transmitted over a wide range of media — electronic, optical and radio. ","20,373 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Mathematics and Data Science,University of Stirling,"Stirling, Scotland, United Kingdom","The Mathematics and Data Science course, offered at University of Stirling, combines Mathematics with technology from Big Data and analytics, giving you a practical application in financial, business and medical systems, as well as the tools for studying data networks.","22,901 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,University of Surrey,"Guildford, England, United Kingdom","Collecting, managing and analysing data is becoming essential across many sectors – from finance to politics, and advertising to healthcare. This Msc Data Science at the University of Surrey will give you the advanced computation and mathematics skills you need to work in the growing field of data science.","23,949 EUR / year",month,12,M.Sc.,Full-time,,,
Advanced Computer Science (Data Analytics),University of Leeds,"Leeds, England, United Kingdom","Big data is becoming more and more important in fields from science to marketing, engineering medicine and government. This Advanced Computer Science (Data Analytics) programme from University of Leeds will equip you with specialist knowledge in this exciting field and allow you to explore a range of advanced topics in computer science.",,month,12,M.Sc.,Full-time,,,
Data Science,University of Skövde,"Skövde, Sweden","Data Science degree offered by the University of Skövde is the collective name for various kinds of methods that are used to analyse large quantities of complex data, also known as big data. Data science provides critical support to decision makers in many professions, allowing them to make decisions based on information specific to their particular circumstances. ","12,350 EUR / year",month,12,M.Sc.,Full-time,,,
Computer Science,Emory University,"Atlanta, Georgia, United States","The Computer Science program of Emory University was inaugurated in 1975. Beginning as a combined Computer Science/Mathematics masters degree, students now complete an M.S. in CS. A new doctoral program in Computer Science and Informatics began in Fall 2007.","37,114 EUR / year",month,12,M.Sc.,Full-time,,,
Digital Humanities,Western Sydney University,"Paramatta, New South Wales, Australia",The Digital Humanities program at Western Sydney University is an emerging field of inter-disciplinary study. It involves the application of digital techniques and computational analysis to the sorts of research questions traditionally asked by scholars in the humanities disciplines.,"21,201 EUR / year",month,18,Full-time,Part-time,,,
Data Science and Analytics (with an Emphasis in Human Centered Science Design),University of Missouri - Columbia,"Columbia, Missouri, United States","Data scientists routinely leverage tools and techniques from computer science, information systems, advanced statistics, and machine learning. To satisfy the growing need for data scientist who can transform large collections of data into actionable decision making products for their employers, we are proposing the Master of Science in Data Science and Analytics. ","23,491 EUR / year",month,24,M.Sc.,Full-time,,,
Cloud Computing for Big Data,Newcastle University,"Newcastle upon Tyne, England, United Kingdom","Cloud computing is revolutionising the way that large, and often complex, datasets are stored and analysed. The Cloud Computing for Big Data course from Newcastle University aims to produce experts in cloud computing and big data required by academia and industry.","26,267 EUR / year",month,12,Full-time,,,,
Data Science and Engineering,University of Liège,"Liège, Belgium",The Data Science and Engineering programme of University of Liège studies a rapidly growing portion of human activity is leaving an imprint in the form of masses of digital data that can be used for better management or better services.,0 EUR / year,month,24,M.Sc.,Full-time,,,
Data Science and Scientific Computing,University of Trieste,"Trieste, Italy",The Master in Data Science and Scientific Computing at University of Trieste aims to train professionals of the future: experts that are highly requested because of the digitalization of the society and the evolution to industry 4.0.,,month,24,M.Sc.,Full-time,,,
Big Data Technologies,University of East London,"London, England, United Kingdom","This Big Data Technologies programme, offered by University of East London, is ideal if you want to pursue a career as a Big Data scientist or expert, deriving valuable insights and business-relevant knowledge from massive amounts of data. ","15,363 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science and Analytics (with an Emphasis in Strategic Communications and Data Journalism),University of Missouri - Columbia,"Columbia, Missouri, United States","Data scientists routinely leverage tools and techniques from computer science, information systems, advanced statistics, and machine learning. To satisfy the growing need for data scientist who can transform large collections of data into actionable decision making products for their employers, we are proposing the Master of Science in Data Science and Analytics. ","23,491 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,Copenhagen Business School (CBS),"Beijing, China",This Data Science programme from Copenhagen Business School (CBS) uniquely combines hard analytical skills with an understanding of the relevant business data context for application.,"15,200 EUR / year",month,24,M.Sc.,Full-time,,,
Applied Data Analytics,Clarion University of Pennsylvania,"Clarion, Pennsylvania, United States",This online program is geared toward working professionals or busy adults with domain knowledge in any undergraduate field. Students will take one online course at a time in prerequisite structure to accumulate and apply the necessary skills to solve big data problems.,671 EUR / credit,month,3,M.Sc.,Full-time,,,
Data Science,University of Massachusetts Dartmouth,"New York City, New York, United States","The Data Science program of University of Massachusetts Dartmouth prepares you for leadership positions in data analytics, information management, and knowledge engineering. It is jointly offered by the departments of Computer Science in Engineering and Mathematics in Arts & Sciences.","19,236 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,University of Delaware,"Newark, Delaware, United States","MS in Data Science at University of Delaware is as a professional masters with a flexible set of core requirements in statistics, mathematics and computer and information sciences. It is aimed at providing a solid background in the methods behind data science to work with large and/or dynamic data sets. ","1,646 EUR / credit",month,12,M.Sc.,Full-time,,,
Data Science,Western Michigan University,"Kalamazoo, Michigan, United States",This is an interdisciplinary master's program offered by the departments of Computer Science (CEAS) and Statistics (COAS). ,"13,489 EUR / year",month,24,M.Sc.,Full-time,,,
Networking and Data Communications with Management Studies,Kingston University,"London, England, United Kingdom","The Networking and Data Communications with Management Studies course at Kingston University will provide you with the opportunity to gain a sound understanding of the internet protocol suite that forms the core for current data networks. The fusion of the internet world and multimedia is also addressed, as well as wireless communications. You can combine this course with management studies.","16,775 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,Charles Darwin University,"Alice Springs, Northern Territory, Australia",The Master of Data Science at Charles Darwin University will further develop your technical and analytical skills needed to manage and interpret useful insights from massive data sets.,"18,316 EUR / year",month,24,M.Sc.,Full-time,Part-time,,
Healthcare Data Analytics,Clarkson University,Online,"Clarkson University's online Healthcare Data Analytics program provides you with the skills to acquire, interpret and communicate healthcare data to shape the direction of the healthcare industry.","1,018 EUR / credit",month,24,M.Sc.,Part-time,,,
Data Science,University of Newcastle,Online,The Data Science program at the University of Newcastle will equip you with the essential specialised skills and knowledge required to understand and engage with a variety of data generated from diverse industries and settings. ,"22,778 EUR / year",month,18,Part-time,,,,
Business Analytics,Santa Clara University,"Santa Clara, California, United States",Do you want a data-driven advantage? Analytics.Big data. The Internet of everything. The ability to collect and make sense of a vast amount of data has transformed industry—and you can be part of the transformation with our MS in Business Analytics program. ,926 EUR / credit,month,12,M.B.A.,Full-time,Part-time,,
Data Analytics,Rowan University,"Glassboro, New Jersey, United States",The Master of Science in Data Analytics at Rowan University is designed for individuals with a Bachelor's degree in a STEM related field who are looking to expand their knowledge and opportunities in Data Science.,620 EUR / credit,month,12,M.Sc.,Full-time,Part-time,,
Data Science,The University of Hong Kong,"Hong Kong, Hong Kong (SAR)","At The University of Hong Kong, we offer a master The Department of Statistics and Actuarial Science and Department of Computer Science jointly offer a postgraduate curriculum leading to the degree of Master of Data Science, with two study modes: the one and a half academic years' full-time mode and the two and a half academic years' part-time mode.  ","18,904 EUR / year",month,18,Full-time,Part-time,,,
High Performance Computing with Data Science,The University of Edinburgh,"Edinburgh, Scotland, United Kingdom","In the High Performance Computing with Data Science programme offered by The University of Edinburgh you will study at EPCC, the UK’s leading supercomputing centre. EPCC is the major provider of high performance computing (HPC) training in Europe with an international reputation for excellence in HPC education and research.","31,068 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Analytics,The University of Texas at San Antonio,"Helotes, Texas, United States","The goal of the Master of Science in Data Analytics program is to produce highly-skilled and educated data analysts who can transform Big Data into usable information for decision makers across a variety of disciplines including business, healthcare and national security.","21,747 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,University of Minnesota,"Minneapolis, Minnesota, United States","The M.S. in Data Science program at University of Minnesota provides a strong foundation in the science of Big Data and its analysis by gathering in a single program the knowledge, expertise, and educational assets in data collection and management, data analytics, scalable data-driven pattern discovery, and the fundamental concepts behind these methods.","23,590 EUR / year",month,24,M.Sc.,Full-time,,,
Computer Sciences - Data Engineering,South East European University - Tetovo,"Tetovo, Macedonia (FYROM)",Changes in the field of computer sciences and their application are very dynamic. The main challenge of the research and studies in this area is developing new advanced systems and technologies that will provide solutions in the area of information and communication technologies.,,month,24,Full-time,,,,
Data Engineering and Analytics,Technical University of Munich,"Garching bei München, Germany",The master's degree program in Data Engineering and Analytics at Technical University of Munich deals with innovative solutions for handling and analyzing very large amounts of data.,0 EUR / year,month,24,M.Sc.,Full-time,,,
Spatial Information Management,Carinthia University of Applied Sciences,"Spittal an der Drau, Austria",Spatial Information Management is a graduate program at the Department of Geoinformation offering a degree of Master of Science in GIS at Carinthia University of Applied Sciences. This innovative master degree program in English has been developed specifically to meet the needs of providing new solutions for dealing with complex interdisciplinary challenges.,726 EUR / year,month,24,M.Sc.,Full-time,,,
